Id,Label,Interval
192,Made in Abyss Movie 2 Hourou Suru Tasogare,8.34
193,Shelter,8.33
194,Steins Gate Oukoubakko no Poriomania,8.34
195,Tian Guan Ci Fu,8.34
196,Natsume Yuujinchou,8.33
197,Natsume Yuujinchou Go Specials,8.33
198,NHK ni Youkoso,8.33
199,Versailles no Bara,8.34
200,Dr Stone,8.33
201,Fate stay night Unlimited Blade Works 2nd Season,8.33
202,Given,8.33
203,Hunter x Hunter Original Video Animation,8.33
204,K-On Movie,8.33
205,Kino no Tabi The Beautiful World,8.33
206,Kuroko no Basket 3rd Season,8.33
207,Bakemono no Ko,8.32
208,Diamond no Ace Second Season,8.32
209,Doukyuusei Movie,8.32
210,Neon Genesis Evangelion,8.32
211,Nodame Cantabile,8.32
212,Violet Evergarden Kitto Ai wo Shiru Hi ga Kuru no Darou,8.32
213,Wonder Egg Priority,8.32
214,No Game No Life Zero,8.31
215,Planetes,8.31
216,Rurouni Kenshin Meiji Kenkaku Romantan,8.31
217,Stranger Mukou Hadan,8.31
218,Tsubasa Tokyo Revelations,8.31
219,Beck,8.31
220,Boku no Hero Academia 2nd Season,8.31
221,Detective Conan Movie 06 The Phantom of Baker Street,8.31
222,Kono Subarashii Sekai ni Shukufuku wo 2,8.31
223,Quanzhi Gaoshou Specials,8.3
224,Tenkuu no Shiro Laputa,8.3
225,Tonari no Totoro,8.3
226,Re Zero kara Hajimeru Isekai Seikatsu,8.28
227,Redline,8.29
228,Tokyo Godfathers,8.29
229,Gin no Saji 2nd Season,8.29
230,Hajime no Ippo Champion Road,8.29
231,Hibike Euphonium 2,8.29
232,Hunter x Hunter Greed Island Final,8.28
233,Koukaku Kidoutai,8.29
234,Ashita no Joe,8.28
235,Douluo Dalu Xiaowu Juebie,8.28
236,Gyakkyou Burai Kaiji Ultimate Survivor,8.28
237,Initial D First Stage,8.28
238,Kawaki wo Ameku,8.29
239,Kuroko no Basket 2nd Season,8.27
240,Shokugeki no Souma,8.28
241,Nodame Cantabile Finale,8.27
242,Ookami to Koushinryou,8.27
243,Sennen Joyuu,8.27
244,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku,8.27
245,Youjo Senki Movie,8.27
246,Yuru Camp,8.27
247,Danshi Koukousei no Nichijou,8.27
248,Detective Conan Episode One - The Great Detective Turned Small,8.26
249,Gintama Shinyaku Benizakura-hen,8.27
250,Magi The Kingdom of Magic,8.27
251,Major S1,8.27
252,Major S3,8.27
253,Dr Stone Stone Wars,8.26
254,Fate stay night Movie Heavens Feel - I Presage Flower,8.26
255,Kuroshitsuji Movie Book of the Atlantic,8.26
256,SpaceDandy 2nd Season,8.26
257,Steins Gate Kyoukaimenjou no Missing Link - Divide By Zero,8.26
258,SKET Dance,8.25
259,Toaru Kagaku no Railgun T,8.25
260,Gyakkyou Burai Kaiji Hakairoku-hen,8.25
261,Hachimitsu to Clover II,8.25
262,Major S2,8.24
263,Initial D Final Stage,8.24
