183 - 2559 : Romeo_no_Aoi_Sora
184 - 12531 : Sakamichi_no_Apollon
185 - 13125 : Shinsekai_yori
186 - 25835 : Shirobako
187 - 5420 : Kemono_no_Souja_Erin
188 - 11917 : Major__World_Series
189 - 10937 : Mobile_Suit_Gundam__The_Origin
190 - 3784 : Evangelion__20_You_Can_Not_Advance
191 - 10087 : Fate_Zero
192 - 6945 : Gintama__Shiroyasha_Koutan
193 - 37515 : Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare
194 - 34240 : Shelter
195 - 10863 : Steins_Gate__Oukoubakko_no_Poriomania
196 - 40730 : Tian_Guan_Ci_Fu
197 - 4081 : Natsume_Yuujinchou
198 - 34534 : Natsume_Yuujinchou_Go_Specials
199 - 1210 : NHK_ni_Youkoso
200 - 338 : Versailles_no_Bara
201 - 38691 : Dr_Stone
202 - 28701 : Fate_stay_night__Unlimited_Blade_Works_2nd_Season
203 - 39533 : Given
204 - 137 : Hunter_x_Hunter__Original_Video_Animation
205 - 9617 : K-On_Movie
206 - 486 : Kino_no_Tabi__The_Beautiful_World
207 - 24415 : Kuroko_no_Basket_3rd_Season
208 - 28805 : Bakemono_no_Ko
209 - 30230 : Diamond_no_Ace__Second_Season
210 - 30346 : Doukyuusei_Movie
211 - 30 : Neon_Genesis_Evangelion
212 - 1698 : Nodame_Cantabile
213 - 37095 : Violet_Evergarden__Kitto_Ai_wo_Shiru_Hi_ga_Kuru_no_Darou
214 - 43299 : Wonder_Egg_Priority
215 - 33674 : No_Game_No_Life__Zero
216 - 329 : Planetes
217 - 45 : Rurouni_Kenshin__Meiji_Kenkaku_Romantan
218 - 2418 : Stranger__Mukou_Hadan
219 - 2685 : Tsubasa__Tokyo_Revelations
220 - 57 : Beck
221 - 33486 : Boku_no_Hero_Academia_2nd_Season
222 - 1365 : Detective_Conan_Movie_06__The_Phantom_of_Baker_Street
223 - 32937 : Kono_Subarashii_Sekai_ni_Shukufuku_wo_2
224 - 37078 : Quanzhi_Gaoshou_Specials
225 - 513 : Tenkuu_no_Shiro_Laputa
226 - 523 : Tonari_no_Totoro
227 - 31240 : Re_Zero_kara_Hajimeru_Isekai_Seikatsu
228 - 6675 : Redline
229 - 759 : Tokyo_Godfathers
230 - 19363 : Gin_no_Saji_2nd_Season
231 - 264 : Hajime_no_Ippo__Champion_Road
232 - 31988 : Hibike_Euphonium_2
